ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260608_085538_L101;20260608_085538;08.06.2026;08:44:00;101;2;2327;11;U680Z3P;Skalka;50.06882;14.46894
20260608_085538_L108;20260608_085538;08.06.2026;08:14:00;108;3;2074;41;U630Z1P;Dejvická;50.08596;14.32529
20260608_085538_L108;20260608_085538;08.06.2026;08:37:00;108;4;2034;18;U1167Z1P;Dejvická;50.08839;14.3233
20260608_085538_L108;20260608_085538;08.06.2026;08:14:00;108;2;2075;40;U3218Z2P;Dejvická;50.10486;14.39131
20260608_085538_L110;20260608_085538;08.06.2026;08:42:00;110;2;8101;13;U89Z1P;Obchodní centrum Čakovice;50.13146;14.50757
20260608_085538_L110;20260608_085538;08.06.2026;08:30:00;110;3;1477;25;U158Z2P;Obchodní centrum Čakovice;50.08783;14.56315
20260608_085538_L110;20260608_085538;08.06.2026;08:44:00;110;1;1490;11;U652Z3P;Dolní Počernice;50.10632;14.54153
20260608_085538_L110;20260608_085538;08.06.2026;08:36:00;110;4;8103;18;U1197Z1P;Dolní Počernice;50.10026;14.55425
20260608_085538_L110;20260608_085538;08.06.2026;08:24:00;110;5;8102;31;U1197Z1P;Dolní Počernice;50.10034;14.55426
20260608_085538_L110;20260608_085538;08.06.2026;08:43:00;110;6;8106;12;U97Z3P;Obchodní centrum Čakovice;50.08503;14.57724
20260608_085538_L110;20260608_085538;08.06.2026;08:29:00;110;8;8105;26;U405Z1P;Obchodní centrum Čakovice;50.12872;14.51128
20260608_085538_L113;20260608_085538;08.06.2026;08:45:00;113;6;3674;11;U546Z2P;Kačerov;49.99428;14.46763
20260608_085538_L114;20260608_085538;08.06.2026;08:38:00;114;9;6820;17;U50Z15P;Zelený pruh;50.04455;14.44867
20260608_085538_L117;20260608_085538;08.06.2026;08:43:00;117;1;1936;12;U76Z3P;Nové Komořany;50.00973;14.403
20260608_085538_L117;20260608_085538;08.06.2026;08:37:00;117;8;1940;17;U343Z2P;Poliklinika Budějovická;50.04388;14.45091
20260608_085538_L121;20260608_085538;08.06.2026;08:34:00;121;7;3734;21;U50Z6P;Nádraží Braník;50.04336;14.45023
20260608_085538_L124;20260608_085538;08.06.2026;08:40:00;124;4;5032;15;U508Z2P;Želivského;50.06631;14.45565
20260608_085538_L124;20260608_085538;08.06.2026;08:34:00;124;13;6698;19;U269Z4P;Želivského;50.06853;14.46623
20260608_085538_L125;20260608_085538;08.06.2026;08:46:00;125;4;5101;10;U1076Z2P;Skalka;50.07001;14.5105
20260608_085538_L125;20260608_085538;08.06.2026;08:35:00;125;19;6987;13;U181Z2P;Smíchovské nádraží;50.03294;14.42679
20260608_085538_L125;20260608_085538;08.06.2026;08:42:00;125;22;5061;13;U633Z1P;Skalka;50.04811;14.54473
20260608_085538_L126;20260608_085538;08.06.2026;08:11:00;126;1;3825;42;U6Z2P;Koleje Jižní Město;50.0297;14.55337
20260608_085538_L126;20260608_085538;08.06.2026;08:41:00;126;4;4023;14;U3053Z1P;Koleje Jižní Město;50.02925;14.59409
